title,price,processor,ram,ssd,display,os
Lenovo LOQ Essential Intel Core i5 12th Gen 12450HX - (12 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,58990.0,Intel Core i5 Processor (12th Gen),12 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,Windows 11 Home Operating System
MSI Katana 15 HX B14 Intel Core i7 14650HX - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,106190.0,Intel Core i7 Processor,16 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,64 bit Windows 11 Operating System
Lenovo LOQ 2025 Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,118990.0,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,Windows 11 Home Operating System
HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,70990.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,Windows 11 Home Operating System
HP AMD Ryzen 5 Octa Core 8th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX ...,65990.0,AMD Ryzen 5 Octa Core Processor (8th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,Windows 11 Home Operating System
"ASUS Gaming V16 (2025) with Office 2024 + M365 Basic*, AI PC, (i7 14th gen) Intel Core 7 240H - (16 GB...",105190.0,Intel Core 7 Processor,16 GB DDR5 RAM,512 GB SSD,40.64 cm (16 Inch) Display,Windows 11 Home Operating System
Lenovo Legion 5 AMD Ryzen 7 Octa Core 260 - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,192390.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,64 bit Windows 11 Home Operating System
Acer Predator Neo Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,91990.0,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,512 GB SSD,40.64 cm (16 Inch) Display,Windows 11 Operating System
HP AMD Ryzen 5 Hexa Core - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 ...,71500.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,Windows 11 Operating System
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,67990.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,64 bit Windows 11 Operating System
HP Victus AMD Ryzen 7 Hexa Core 7445HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForc...,81990.0,AMD Ryzen 7 Hexa Core Processor,16 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,Windows 11 Home Operating System
Lenovo LOQ 2025 Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,127990.0,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,Windows 11 Home Operating System
MSI Pulse 17 Intel Core i7 13th Gen 13700H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFo...,195990.0,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD,43.94 cm (17.3 Inch) Display,Windows 11 Operating System
GIGABYTE G Series Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,90990.0,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD,40.64 cm (16 Inch) Display,Windows 11 Operating System
HP Victus AI 31 TOPS AMD Ryzen 5 Hexa Core 8645HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NV...,60990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,Windows 11 Home Operating System
MSI Thin A15 AMD Ryzen 7 Octa Core 7735HS - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,77990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 Inch) Display,64 bit Windows 11 Operating System
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,71990.0,Intel Core i5 Processor (13th Gen),8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,Windows 11 Operating System
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,57990.0,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,Windows 11 Operating System
Lenovo Legion Pro 5 AMD Ryzen 9 16 Core 9955HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,194990.0,AMD Ryzen 9 16 Core Processor,32 GB DDR5 RAM,1 TB SSD,40.64 cm (16 inch) Display,64 bit Windows 11 Home Operating System
"ASUS Vivobook 16X for Creator, Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB ...",65990.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,40.64 cm (16 inch) Display,Windows 11 Operating System
Lenovo IdeaPad Gaming 3 AMD Ryzen 7 Octa Core 6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,89990.0,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,Windows 11 Operating System
Lenovo LOQ 2025 Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,125990.0,Intel Core i7 Processor (14th Gen),16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,Windows 11 Home Operating System
DELL G15 Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,92990.0,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,Windows 11 Operating System
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,66990.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,Windows 11 Operating System
MSI Delta 15 AMD Advantage Edition AMD Ryzen 9 Octa Core 5th Gen 5900HX - (16 GB/1 TB SSD/Windows 11 H...,187200.0,AMD Ryzen 9 Octa Core Processor (5th Gen),16 GB DDR4 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,64 bit Windows 11 Operating System
ASUS TUF Gaming A17 AMD Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphic...,62990.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,43.94 cm (17.3 inch) Display,64 bit Windows 10 Operating System
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,66990.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,Windows 11 Operating System
HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,79900.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,Windows 11 Home Operating System
MSI Vector A18 HX AMD Ryzen 9 16 Core 9955HX - (32 GB/2 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA G...,269990.0,AMD Ryzen 9 16 Core Processor,32 GB DDR5 RAM,2 TB SSD,45.72 cm (18 Inch) Display,64 bit Windows 11 Operating System
MSI Crosshair 16 HX AI Intel Core Ultra 9 275HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,164990.0,Intel Core Ultra 9 Processor,16 GB DDR5 RAM,1 TB SSD,40.64 cm (16 inch) Display,64 bit Windows 11 Operating System
HP Omen Intel Core i7 13th Gen 13700HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForc...,99599.0,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,512 GB SSD,40.89 cm (16.1 Inch) Display,Windows 11 Operating System
Acer Nitro 5 Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,65999.0,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,64 bit Windows 11 Operating System
HP HP Pavilion AMD Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVI...,68990.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,64 bit Windows 10 Operating System
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVI...,138990.0,Intel Core i7 Processor (14th Gen),16 GB DDR5 RAM,1 TB SSD,40.64 cm (16 Inch) Display,Windows 11 Operating System
HP Victus Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,84999.0,Intel Core i5 Processor (13th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 inch) Display,Windows 11 Home Operating System
MSI Katana 15 HX B14 Intel Core i5 14450HX - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,102990.0,Intel Core i5 Processor,16 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,64 bit Windows 11 Operating System
MSI Thin A15 AMD Ryzen 5 Hexa Core 7535HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,61990.0,AMD Ryzen 5 Hexa Core Processor,8 GB DDR5 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,64 bit Windows 11 Operating System
MSI Katana 15 Intel Core i5 13th Gen 13420H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,79990.0,Intel Core i5 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD,39.62 cm (15.6 inch) Display,64 bit Windows 11 Operating System
Acer Aspire 7 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,72990.0,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,64 bit Windows 11 Home Operating System
HP Victus Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,86990.0,Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,512 GB SSD,39.62 cm (15.6 Inch) Display,Windows 11 Home Operating System
GIGABYTE G Series Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,161990.0,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,1 TB SSD,40.64 cm (16 Inch) Display,Windows 11 Operating System
