,Title,Price,Processor,Ram(GBs),Storage(GBs),Display(cm),Operating System,Brand,Processor Brand
183,MSI Thin A15 B7UC AMD Ryzen 5 Hexa Core 7535HS - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA ...,71190.0,AMD Ryzen 5 Hexa Core Processor,16,1024,39.62,1,MSI,AMD
184,HP OMEN Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForc...,148500.0,Intel Core i5 Processor (13th Gen),16,512,40.89,1,HP,INTEL
185,ASUS TUF Gaming A14 AMD Ryzen AI 9 12 Core HX 370 - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVID...,149990.0,AMD Ryzen AI 9 12 Core Processor,16,1024,35.56,1,ASUS,AMD
186,HP Victus AMD Ryzen 7 Hexa Core 7445HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForc...,75793.0,AMD Ryzen 7 Hexa Core Processor,16,512,39.62,1,HP,AMD
187,Acer Predator Helios 16 Intel Core i9 14th Gen 14900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics...,194990.0,Intel Core i9 Processor (14th Gen),16,1024,40.64,1,ACER,INTEL
188,ASUS TUF Gaming F17 with 90Whr Battery Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Ho...,98299.0,Intel Core i5 Processor (12th Gen),16,512,43.94,1,ASUS,INTEL
189,MSI Stealth 18 HX AI Intel Core Ultra 9 275HX - (32 GB/2 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA ...,279990.0,Intel Core Ultra 9 Processor,32,2048,45.72,1,MSI,INTEL
190,MSI Crosshair A17 HX D8W AMD Ryzen 9 16 Core 8940HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NV...,179990.0,AMD Ryzen 9 16 Core Processor,16,1024,43.18,1,MSI,AMD
191,MSI Katana GF66 Intel Core i7 12th Gen 12650H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA ...,83990.0,Intel Core i7 Processor (12th Gen),8,512,39.62,1,MSI,INTEL
192,Acer Predator Helios Neo 16S AI Intel Core Ultra 7 - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVI...,154990.0,Intel Core Ultra 7 Processor,16,1024,40.64,1,ACER,INTEL
193,Lenovo IdeaPad Gaming 3 AMD Ryzen 7 Octa Core AMD R7-5800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Gra...,63390.0,AMD Ryzen 7 Octa Core Processor,8,512,39.62,1,LENOVO,AMD
194,MSI Raider A18 HX AMD Ryzen 9 16 Core 7th Gen 7945HX - (32 GB/1 TB SSD/Windows 11 Pro/12 GB Graphics/N...,269990.0,AMD Ryzen 9 16 Core Processor (7th Gen),32,1024,45.72,1,MSI,AMD
195,MSI AMD Ryzen 7 Octa Core 8840H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4...,99990.0,AMD Ryzen 7 Octa Core Processor,16,512,39.62,1,MSI,AMD
196,MSI Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...,69990.0,Intel Core i7 Processor (12th Gen),16,512,39.62,1,MSI,INTEL
197,Acer Nitro V Intel Core i7 14th Gen 14650HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,98899.0,Intel Core i7 Processor (14th Gen),16,512,40.64,1,ACER,INTEL
198,MSI GF65 Thin Intel Hexa Core i5 10th Gen 10500H - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVI...,94990.0,Intel Hexa Core i5 Processor (10th Gen),16,512,39.62,1,MSI,INTEL
199,Acer Nitro V Intel Core i5 14th Gen 14450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,90990.0,Intel Core i5 Processor (14th Gen),16,512,40.64,1,ACER,INTEL
200,Acer Predator Helios 300 Intel Core i7 12th Gen 12700H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics...,109990.0,Intel Core i7 Processor (12th Gen),16,1024,39.62,1,ACER,INTEL
201,MSI GP66 Leopard Intel Core i7 11th Gen 11800H - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA ...,144990.0,Intel Core i7 Processor (11th Gen),16,1024,39.62,1,MSI,INTEL
202,MSI Stealth 16 Studio Intel Core i7 13th Gen 13700H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NV...,159990.0,Intel Core i7 Processor (13th Gen),32,1024,40.64,1,MSI,INTEL
203,ASUS Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RT...,85990.0,Intel Core i7 Processor (12th Gen),16,512,39.62,1,ASUS,INTEL
204,Acer Predator Helios Neo 16 Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Grap...,146990.0,Intel Core i7 Processor (14th Gen),16,1024,40.64,1,ACER,INTEL
205,ASUS ROG Zephyrus G14 OLED AMD Ryzen 9 Octa Core 8945HS - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphic...,169990.0,AMD Ryzen 9 Octa Core Processor,16,1024,35.56,1,ASUS,AMD
206,HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/NVIDIA GeForc...,73990.0,Intel Core i5 Processor (12th Gen),16,512,39.62,1,HP,INTEL
207,HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,73490.0,Intel Core i5 Processor (12th Gen),16,512,39.62,1,HP,INTEL
208,HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/Intel Integrated NVIDIA® Ge...,74990.0,Intel Core i5 Processor (12th Gen),8,512,39.62,1,HP,INTEL
209,HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce ...,69990.0,AMD Ryzen 5 Hexa Core Processor,8,512,39.62,1,HP,AMD
210,Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Quad Core 5500H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,71990.0,AMD Ryzen 5 Quad Core Processor,8,512,39.62,1,LENOVO,AMD
211,MSI Katana 15 Intel Core 7 240H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 405...,99990.0,Intel Core 7 Processor,16,1024,39.62,1,MSI,INTEL
212,DELL Alienware Intel Core Ultra 9 185H - (32 GB/1 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce...,448490.0,Intel Core Ultra 9 Processor,32,1024,40.64,1,DELL,INTEL
213,ASUS TUF Gaming F17 Intel Core i5 10th Gen 10300H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVI...,73990.0,Intel Core i5 Processor (10th Gen),8,512,43.94,1,ASUS,INTEL
214,ASUS TUF AMD Ryzen 7 Quad Core 3750H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce G...,66990.0,AMD Ryzen 7 Quad Core Processor,8,512,43.94,1,ASUS,AMD
215,Acer Predator Helios 300 Intel Core i7 11th Gen 11800H - (16 GB/1 TB HDD/512 GB SSD/Windows 10 Home/6 ...,121990.0,Intel Core i7 Processor (11th Gen),16,1024,39.62,1,ACER,INTEL
216,Acer Gaming Intel Core i7 12th Gen 12700H - (16 GB/1 TB HDD/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,98800.0,Intel Core i7 Processor (12th Gen),16,1024,39.62,1,ACER,INTEL
217,HP Victus 15 AMD Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,69499.0,AMD Ryzen 5 Hexa Core Processor,16,512,38.86,1,HP,AMD
218,Acer NITRO LITE 16 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,79990.0,Intel Core i7 Processor (13th Gen),16,512,40.64,1,ACER,INTEL
219,ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,71850.0,AMD Ryzen 7 Octa Core Processor,16,512,39.62,1,ASUS,AMD
220,ASUS TUF Gaming F15 with 90WHr Battery Intel H-Series Intel Core i7 12th Gen 12700H - (16 GB/1 TB SSD/...,93990.0,Intel Core i7 Processor (12th Gen),16,1024,39.62,1,ASUS,INTEL
221,"ASUS Gaming V16 (2025) for Creator with Office 2024 + M365 Basic*, AI PC(i7 14th gen) Intel Core 7 240...",109599.0,Intel Core 7 Processor,16,512,40.64,1,ASUS,INTEL
222,ASUS TUF Gaming F16 Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce...,91753.0,Intel Core 5 Processor,16,512,40.64,1,ASUS,INTEL
223,DELL Inspiron Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA ...,79490.0,Intel Core i5 Processor (13th Gen),16,512,39.62,1,DELL,INTEL
224,ASUS TUF Gaming F17 Intel Core i7 12th Gen 12700H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVID...,121999.0,Intel Core i7 Processor (12th Gen),16,1024,43.94,1,ASUS,INTEL
